,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,-0.158,-0.016,-7.392,-0.095,-0.6809999999999999,-0.205,-0.132,-0.255,0.0,-0.035,-0.10099999999999999
2017-02-26 04:30:00,-0.168,-0.035,-6.96,-0.061,-0.713,-0.31,-0.153,-0.159,0.0,-0.094,-0.08900000000000001
2017-02-26 05:00:00,-0.168,-0.043,-6.292000000000001,-0.091,-0.684,-0.218,-0.13699999999999998,-0.537,0.0,-0.253,-0.077
2017-02-26 05:30:00,-0.17,-0.011000000000000001,-7.18,-0.065,-0.6829999999999999,-0.273,-0.159,-0.304,0.0,-0.127,-0.081
2017-02-26 06:00:00,-0.433,-0.043,-5.78,0.01137813,-0.7040000000000001,-0.14741552600000002,-0.125,-1.2532923624999999,0.009659015,-0.035,-0.08199999999999999
2017-02-26 06:30:00,-0.155,-0.035,-6.62,0.5275990660000001,-0.708,0.08314100680000003,-0.037000000000000005,0.6418836275,0.07056912300000001,-0.038,-0.07400000000000001
2017-02-26 07:00:00,-0.158,-0.013000000000000001,-6.0520000000000005,1.5635550759999999,-0.7070000000000001,0.7339775048,0.0,1.7447217149999998,0.190333278,-0.040999999999999995,-0.11900000000000001
2017-02-26 07:30:00,-0.165,-0.047,-5.66,2.543781646,-0.71,0.9474910907999999,0.0,2.7973652025,0.305167113,-0.035,-0.098
2017-02-26 08:00:00,-0.165,-0.028999999999999998,-7.652,3.3748217080000003,-0.711,1.7465908184000003,0.0,3.6541383450000002,0.39863327400000004,-0.187,-0.102
2017-02-26 08:30:00,-0.17,-0.019,-7.06,3.941808896,-0.71,2.0755681407999997,0.0,4.28027864,0.46693948799999996,-0.043,-0.073
2017-02-26 09:00:00,-0.165,-0.048,-7.92,5.0057618239999995,-0.708,2.6849721152,0.0,5.37917116,0.5858186719999999,-0.036000000000000004,-0.08800000000000001
2017-02-26 09:30:00,-0.16,-0.022000000000000002,-6.372000000000001,5.455891039999999,-0.546,2.913722592,0.0,5.8785386,0.64129512,-0.036000000000000004,-0.079
2017-02-26 10:00:00,-0.158,-0.028999999999999998,-7.412000000000001,5.912804246,-1.202,3.1992885708,0.0,6.3385429525,0.691477413,-0.039,-0.081
2017-02-26 10:30:00,-0.165,-0.05,-7.38,6.820252451999999,-1.01,3.6866975496,0.0,7.263228554999999,0.7949522059999999,-0.040999999999999995,-0.109
2017-02-26 11:00:00,-0.17,-0.064,-9.32,7.293832050000001,-0.9990000000000001,3.9874120900000003,0.0,7.799245437500001,0.850826775,-0.035,-0.106
2017-02-26 11:30:00,-0.168,-0.07200000000000001,-9.3,7.094425806,-0.995,3.8303654588000002,0.0,7.572469602500001,0.825087593,-0.038,-0.11599999999999999
